case_id,class,sha256,size_bytes
BME-001,BME,6d21c4e28c3236066348ab8914223075a77135944f982faf0339a6c810c9fa93,143165881
BME-002,BME,1e384e4071ed48425338362bbfbe082c3b4002454bb84b839f1d906ba72cef8e,168736436
BME-003,BME,67308fb9f625424fc1a62c95631ae20a327c895eb65aee00c6f5cdbe4832a9e4,6001505
BME-004,BME,aff5875be818a0b337c294883ed69e867521f4e1d1201664616423473c580450,462466926
BME-005,BME,84309b1b51ef323b78a3806b8870645adb3476cb5995436f190ba89156c4a59b,210388959
BME-006,BME,9fbaaddcdfa47f2843d24206709af4a47551309f64cf725f419bcb09752a03be,6449401
BME-007,BME,422fa8f0633863cfc3ea3633f6d1d84541513b26f2d2da3efa37d0895f193742,9812331
BME-008,BME,9b3c20f8faa01186fd9978633e615f2e77bfe703739ef3dee29fa6e0e34bcc9d,7673809
BME-009,BME,d0a10ba6ccc4dd389397de5ae42431f27efb29e5ab69734fba3cdb2f4ccdae38,2978716
BME-010,BME,2ff2c08896756735eaae4a4995d2df5b90c6d5d4b80d42364301e8e729d2a3ae,5627610
BME-011,BME,c1d6dba0ba7fa557b426d5d0fbf83149ec4c72ad7080acd62fa16dddf69238e6,3140147
BME-012,BME,61860516d09200d42283280db2b78de72e8356ab472c187440ff44966fd39635,5400761
BME-013,BME,36b0d51a4913c8a6567c55a097addbcbc6bf4d3e2b4d9dfbaab4f82a2ba6b5b8,5008973
BME-014,BME,841b608ac6b4a764994ee7b0af9a541b77266f634f292af297d9ab3e59c4cf12,5509438
BME-015,BME,fe9e8ec403336b587df2f8e9a3422e3d3ac0b0fb71910335475cd916d45a0e9b,2958837
BME-016,BME,87fc58c097851ed4d375220480d7f431059bd399377d3fda89790c735b5e058a,5688396
BME-017,BME,ae1ede751f1443fa332eca983cff2c4776ef2115801bcc940e143eb19ffc8bc9,5761069
BME-018,BME,65fa0d3f68d11eb688ac75dc3de134a0b94d7f2749860abf2d94e322891cd827,1615741
BME-019,BME,289c6a4915b4c921368c1c5103c80f4ee16e1485ea085185099ad2f39986e34c,6946632
BME-020,BME,bc14c1e5c2b98bda7c14c23ebeeccfaf89cea699acd2438c520b276ef0f8f9a7,6990595
BME-021,BME,5c1361f6c24e742cd3207ab24d81b35132ba338c7f04c0a091291de3003bb646,5836439
BME-022,BME,6002fdb5fcb58ed434f5766abf935f8f915f9f961671310a6af9e5ef58bc4811,5854430
BME-023,BME,6b737b3aaed9df265396074f0fb9c11391ddf1ba340a3b2850448edadb6b073f,10454144
BME-024,BME,8485c21e2667a40c5005e144dd29cc12dcbddeee9b9a50c32f0088003f132c1d,10404188
BME-025,BME,c355a64087819c2a8f09418088717a3476f3dafd5f692021046786442248e59e,10552777
BME-026,BME,839624b720acc8eae53b647afda32a1cf8cc43855468b3744e420a127da57c1e,5831596
BME-027,BME,4239d71cacb624901e011250b39f9b9ae802992e72f5a3d7f6e7033a76b07071,3015275
BME-028,BME,a479b3a8308f00ccd1619e46828759982a78ee39972159bbda7bb1cc00dd51a6,4524254
BME-029,BME,d91737705d38b75f2970ac2f48f72b8466c0670c33c02a358537947c95b35f88,201231604
BME-030,BME,2dbb0c3e722e811028df9241afaccbadb8199608f100ca217fd6ac53ed2c023d,10408859
BME-031,BME,d8bce62950e8478b7bacd48de424ca4adc5aa85862c967c525000ec609ecbd66,6153267
BME-032,BME,b6d7768ed2615064af2948eb69631504a4271d0280802fb33b5f3bf74635a3a5,9521203
BME-033,BME,fe689911f41d5568f6a530b55fe69ab55d2160b38f1bfbf9209559cd1a491e39,3091637
BME-034,BME,1573aaddeb67c62ef30e67711ed2f3ccf1255252ba920d21d1517ec3b5fe9f23,5892836
BME-035,BME,300273f026c4242b660154ade6cd4b3b2767db2e331872e6fed1c62cf08e2c56,6508998
BME-036,BME,e7eb519a98cf94b98b4d2fcd6477c088ceb5ccda1faa279095d10980962e6c6f,2950675
BME-037,BME,b63eec1d0fcb295e2c919a72e5086a0b6866d3b39457a433ee6dc22b3de7522e,7331109
BME-038,BME,ad7df3b20ba5ac7d0aca91b6ab330285098a92e58a3c260c8b11fe2f97f6a15d,6430955
BME-039,BME,f95cb8917613637e99f90e506368bd8adbab4cec02784f381c3c4f59501a2545,2893704
BME-040,BME,65771d3491e05e7f1e49aa165242f6b1fcdc6260e988785bfab2590bc21ebc21,4679335
BME-041,BME,83255876118afae2d7f3cc93d7fa57f7d9cf4ba399dafba3a196d635002a2bba,6215646
BME-042,BME,945ed1ac8a93f841f21fc51b7a43049e783b33376de0d8a30db9d4892d94cbec,5352762
BME-043,BME,2fe62ca274e7a9eb4a95a70f42e5b031a5a83715463ab75395dec5691dc2ca91,5316573
